"Find","Qty","Ref Des","Part Number"
"1","4","C1, C2, C3, C4","[https://www.mouser.com/ProductDetail/710-860020672005 1uF]"
"2","2","C5, C6","8pF"
"3","5","C7, C8, C9, C12, C13","0.1uF"
"4","1","C10","47uF"
"5","1","J1","[https://www.mouser.com/ProductDetail/649-D09P13B4PA00LF DB9_Male]"
"6","1","J2","JUMPER, EP-1 (1X3)"
"7","1","J3","HEADER, STRT, 1X6"
"8","1","J4","HEADER, STRT, 2X4"
"9","1","J5","JUMPER, EP-27 (1X3)"
"11","6","R1, R2, R3, R4, R6, R7","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.7K]"
"12","1","SW1","PUSHBUTTON, 6MM"
"14","1","U1","[http://www.ti.com/lit/ds/symlink/max232.pdf MAX232]"
"15","1","U2","[https://www.mouser.com/ProductDetail/Alliance-Memory/AS6C62256-55PCN?qs=LD2UibpCYJqgbIupMJnGTQ%3D%3D AS6C62256-55PCN]"
"16","1","U3","[https://www.jameco.com/Jameco/Products/ProdDS/43633.pdf MC68B50]"
"17","1","U4","[http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf 27C512]"
"18","1","U5","[Package_DIP:DIP-40_W15.24mm MC68B02]"
"19","1","U6","[https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf 74HC04]"
"20","1","U7","[https://www.mouser.com/c/?q=DS1813-5 DS1813-5]"
"21","1","U8","[http://www.ti.com/lit/gpn/sn74LS10 74HC10]"
"22","1","Y1","[https://www.mouser.com/ProductDetail/815-ABL-7.3728-B2 7.3728 MHz]"
